2ZbStwijnqVr8vTb1a2hSm,Cheval de Bataille,MHUD,6efsu0OpLcRe8saFE5E4gO,6/12/2020,"Les 7 Lagunes,N/A"
7qjywDT52nC8RqRCeGskVv,Get Rich,SIMBAA,5FiVPe83QzrwJSrRBjsTiq,5/18/2020,"Urban Alliance Ent,N/A"
4Y1bemCzKjzzXk47t3jy0A,We Own The Night - Original Mix,DJ LXS,3qa8p4qEtTMmddGRM7VfzV,5/15/2020,"Loving Records,N/A"
5igchPVnMskByeK9bCpQxX,Nebula,Reggio,1Q6CDBTFFKnanZ20DS2QnQ,5/15/2020,"CMMD Records,N/A"
